ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ECA001,1,,,,1,,,,1,1,,1,,,
ECA002,1,,,,1,,1,,,1,,1,,,
ECA003,1,,,,,,,,,,1,,,,1
ECA004,1,,,,,,,,,,,,,,
ECA005,1,,,,,,,,,,,,,,
ECA006,1,,,,,,,,,,,,,,
ECA007,1,,,,,,,,,,,,,,
ECA008,1,,,,,,,,,,,,,,
ECA009,1,,,,,,,,,,,,,,
ECA010,1,,,,,,,,,,,,,,
ECA011,1,,,,,,,,,,,,,,
ECA012,1,,,,,,,,,,,,,,
ECA013,1,,,,,,,,,,,,,,
ECA014,1,,,,,,,,,,,,,,
ECA015,1,,,,,,,,,,,,,,
ECA016,1,,,,,,,,,,,,,,
ECA017,,1,,,1,,,,,,,,,,
ECA018,,1,,,1,,,,,,,,,,
ECA019,,1,1,,1,1,,,,,,,,,
ECA020,,1,,,1,,,,,,,,,,
ECA021,,1,,,,,,,,,,,,,
ECA022,,1,,,1,1,,,,1,,,,,
ECA023,,,,,1,,,,,,,,,,
ECA024,,,,,1,,,,,,,,,,
ECA025,,,,,1,,,,1,,,,,,
ECA026,,,,,1,,,,,,,,,,
ECA027,,,,,1,,,,,,,,,,
ECA028,,,,,1,1,,,,,,,,,
ECA029,,,,,1,,,,,,,,,,
ECA030,,,,,1,,,,,,,,,,
ECA031,,,,,1,,,,,,,,,,
ECA032,,,,,1,,,,,,,,,,
ECA033,,,,,1,,,,,,,,,,
ECA034,,,,,1,1,,,,,,,,,
ECA035,,,,,1,1,,,,,,,,,
ECA036,,,,,1,,,,,,,,,,
ECA037,,,,,1,,,,,,,,,,
ECA038,,,,,1,,,,,,,,,,
ECA039,,,,,1,,,,,,,,,,
ECA040,,,,,1,,,,,,,,,,
ECA041,,,,,1,,,,,,,,,,
ECA042,,,,,,,,,1,,,,,,
ECA043,,,,,,,,,1,,,1,,,
ECA044,,,,,,,,,,1,,,,,
ECA045,,,,,,,,,,1,,,,,
ECA046,,,,,,,,,,1,,,,,1
ECA047,,,,,,,,,,1,,,,,
ECA048,,,,,,,,,,1,,,,,
ECA049,,,,,,,,,,1,,,,,
ECA050,,,,,,,,,,1,,,,,
ECA051,,,,,,,,,,1,,,,,1
ECA052,,,,,,,,,,1,,,,,
ECA053,,,,,,,,,,1,,,,,
ECA054,,,,,,,,,,1,,,,,
ECA055,,,,,,,,,,1,,,,,
ECA056,,,,,,,,,,1,,1,,,
ECA057,,,,,,,,,,1,,1,,,
ECA058,,,,,,,,,,1,,,,,
ECA059,,,,,,,,,,1,,,,,
ECA060,,,,,,,,,,1,,,,,
ECA061,,,,,,,,,,1,,,,,
ECA062,,,,,,,,,,1,,,,,
ECA063,,,,,,,,,,,1,,,,
ECA064,,,,,,,,,,,1,,,,1
ECA065,,,,,,,,,,,1,,,,
ECA066,,,,,,,,,,,1,,,,
ECA067,,,,,,,,,,,1,,,,
ECA068,,,,,,,,,,,1,,,,
ECA069,,,,,,,,,,,1,,,,
ECA070,,,,,,,,,,,1,,,,
ECA071,,,,,,,,,,,1,,,,
ECA072,,,,,,,,,1,,1,,,,
ECA073,,,,,,,,,,,1,,,,
ECA074,,,,,,,,,,,1,,,,
ECA075,,,,,,,,,,,1,,,,
ECA076,,,,,,,,,,,1,,,,
ECA077,,,,,,,,,,,1,,,,
ECA078,,,,,,,,,,,1,,,,
ECA079,,,,,,,,,,,1,,,,
ECA080,,,,,,,,,,,1,,,,
ECA082,,,,,,,,,,,,1,,,
ECA083,,,,,,,,,,,,1,,,
ECA084,,,,,,,,,,,,1,,,
ECA085,,,,,,,,,,,,1,,,
ECA086,,,,,,,,,,,,1,,,
ECA087,,,,,,,,,,,,1,,,
ECA088,,,,,,,,,,,,1,,,
ECA089,,,,,,,,,,,,1,,,
ECA090,,,,,,,,,,,,1,,,
ECA091,,,,,,,,,,,,1,,,
ECA092,,,,,,,,,,,,1,,,
ECA093,,,,,,,,,,,,1,,,
ECA094,,,,,,,,,,,,1,,,
ECA095,,,1,,,,,,,,,,,,
ECA096,,,1,,,,,,,,,,,,
ECA097,,,1,,,,,,,,,,,,
ECA098,,,1,,,,,,,,,,,,
ECA099,,,1,,,,,,,,,,,,
ECA100,,,1,,,,,,,,,,,,
ECA101,,,,,,,,,,,,1,,,
ECA102,,,,,,,,,,,,1,,,
