OriginalOrderInBatch,ExternalSampleID,Block,Basename,Age,ConfidenceInAgeEstimate,CanBeUsedForAgingStudies,SpeciesLatinName,SpeciesCommonName,Tissue,Female,Folder,PlateNumber,WellAddress,microsatSex,Year,Location
8,ARRB-xx-1291,ARRB-xx-1291,206139140044_R02C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,H01,F,2009,Naujaat
7,KW-CH-2011,KW-CH-2011,206139140044_R01C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,G01,U,2011,Coral Harbour
48,KW-CH-2011,KW-CH-2011,206139140036_R06C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,H06,U,2011,Coral Harbour
10,ARSQ-xx-1379,ARSQ-xx-1379,206139140044_R04C02,NA,0,yes,Orcinus orca,Killer whale,Skin,1,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,B02,U,2016,Sanikiluaq
9,ARSQ-xx-1397,ARSQ-xx-1397,206139140044_R03C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,A02,F,2016,Sanikiluaq
47,ARSQ-xx-1397,ARSQ-xx-1397,206139140036_R05C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,G06,F,2016,Sanikiluaq
19,KW-2020-PG-01,KW-2020-PG-01,206116820074_R01C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,C03,M,2020,Cumberland Sound
20,KW-2020-PG-02,KW-2020-PG-02,206116820074_R02C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,D03,F,2020,Cumberland Sound
21,KW-2020-PG-03,KW-2020-PG-03,206116820074_R03C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,E03,F,2020,Cumberland Sound
40,KW-2020-PG-03,KW-2020-PG-03,206139140036_R04C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,H05,F,2020,Cumberland Sound
22,KW-2020-PG-04,KW-2020-PG-04,206116820074_R04C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,F03,M,2020,Cumberland Sound
23,KW-2020-PG-05,KW-2020-PG-05,206116820074_R05C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,G03,M,2020,Cumberland Sound
24,KW-2020-PG-06,ARPI-2013-06,206116820074_R06C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,H03,F,2020,Cumberland Sound
25,KW-2020-PG-07,KW-2020-PG-03,206139140066_R01C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,A04,F,2020,Cumberland Sound
26,KW-2020-PG-08,KW-2020-PG-08,206139140066_R02C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,B04,F,2020,Cumberland Sound
1,KW-2020-PG-09,KW-2020-PG-09,206139140044_R01C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,A01,M,2020,Cumberland Sound
27,KW-2020-PG-10,KW-2020-PG-10,206139140066_R03C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,C04,M,2020,Cumberland Sound
41,KW-2020-PG-10,KW-2020-PG-10,206139140036_R05C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,A06,M,2020,Cumberland Sound
28,KW-2020-PG-11,KW-2020-PG-11,206139140066_R04C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,D04,F,2020,Cumberland Sound
42,KW-2020-PG-11,KW-2020-PG-11,206139140036_R06C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,B06,F,2020,Cumberland Sound
29,KW-2020-PG-12,KW-2020-PG-01,206139140066_R05C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,E04,M,2020,Cumberland Sound
30,KW-2020-PG-13,KW-2020-PG-13,206139140066_R06C01,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,F04,M,2020,Cumberland Sound
43,KW-2020-PG-13,KW-2020-PG-13,206139140036_R01C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,C06,M,2020,Cumberland Sound
31,KW-2020-PG-14,KW-2020-PG-14,206139140066_R01C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,G04,M,2020,Cumberland Sound
44,KW-2020-PG-14,KW-2020-PG-14,206139140036_R02C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,D06,M,2020,Cumberland Sound
32,KW-2020-PG-15,KW-2020-PG-15,206139140066_R02C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,H04,F,2020,Cumberland Sound
33,KW-2020-PG-16,KW-2020-PG-16,206139140066_R03C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,A05,F,2020,Cumberland Sound
34,KW-2020-PG-17,KW-2020-PG-17,206139140066_R04C02,NA,0,yes,Orcinus orca,Killer whale,Skin,NA,N134.2021-9186.ET0067KillerWhaleTeraEdkins,Plate 01,B05,M,2020,Cumberland Sound
