...1,sampleId,block,N,Species,Year,Location,Sex,plate,sample.well,chip.no,chip.id,stripe,row,column
1,BM-019,BM-019,67,Balaena mysticetus,2022,Igloolik,M,1,A1,1,207211170006,R01C01,A,1
2,KW-2021-PG-11,ARPI-2013-03,52,Orcinus orca,2021,Cumberland Sound,F,1,A2,1,207211170006,R02C01,A,2
3,ARPI-2013-05,ARPI-2013-05,12,Orcinus orca,2013,Eclipse Sound,M,1,A3,1,207211170006,R03C01,A,3
4,BM-041,BM-041,87,Balaena mysticetus,2022,Igloolik,U,1,A4,1,207211170006,R04C01,A,4
5,KW-2021-PG-XX,ARPI-2013-05,53,Orcinus orca,2021,Cumberland Sound,M,1,A5,1,207211170006,R05C01,A,5
6,BM-042,BM-042,88,Balaena mysticetus,2022,Igloolik,U,1,A6,1,207211170006,R06C01,A,6
7,BM-034,BM-034,80,Balaena mysticetus,2022,Igloolik,U,1,A7,1,207211170006,R01C02,A,7
8,BM-027,BM-027,75,Balaena mysticetus,2022,Igloolik,U,1,A8,1,207211170006,R02C02,A,8
9,ARPI-2019-06,ARPI-2019-06,41,Orcinus orca,2019,Eclipse Sound,F,1,A9,1,207211170006,R03C02,A,9
10,OR21-3,OR21-3,45,Orcinus orca,2021,Saint Pierre et Miquelon,M,1,A10,1,207211170006,R04C02,A,10
11,BM-049,BM-049,95,Balaena mysticetus,2022,Igloolik,U,1,A11,1,207211170006,R05C02,A,11
12,ARPI-2019-06,ARPI-2019-06,32,Orcinus orca,2019,Eclipse Sound,F,1,A12,1,207211170006,R06C02,A,12
13,BM-006,BM-006,57,Balaena mysticetus,2022,Igloolik,M,1,B1,2,207222230001,R01C01,B,1
14,ARPI-2019-08,ARPI-2019-08,34,Orcinus orca,2019,Eclipse Sound,M,1,B2,2,207222230001,R02C01,B,2
15,BM-021,BM-021,69,Balaena mysticetus,2022,Igloolik,F,1,B3,2,207222230001,R03C01,B,3
16,ARPI-2013-07,ARPI-2013-07,14,Orcinus orca,2013,Eclipse Sound,M,1,B4,2,207222230001,R04C01,B,4
17,BM-037,BM-037,83,Balaena mysticetus,2022,Igloolik,U,1,B5,2,207222230001,R05C01,B,5
18,BM-018,BM-018,66,Balaena mysticetus,2022,Igloolik,M,1,B6,2,207222230001,R06C01,B,6
19,KW-2019-01,KW-2019-01,38,Orcinus orca,2019,Saint Pierre et Miquelon,M,1,B7,2,207222230001,R01C02,B,7
20,KW-2019-02,KW-2019-02,39,Orcinus orca,2019,Saint Pierre et Miquelon,M,1,B8,2,207222230001,R02C02,B,8
21,OR21-2,OR21-2,44,Orcinus orca,2021,Saint Pierre et Miquelon,M,1,B9,2,207222230001,R03C02,B,9
