"","sampleId","block","N","Species","Year","Location","Concentration.ng.µl","Volume.sampled","Approx..Total.DNA.ng","plate","well","row","column","chip","chipPos","mask"
"1","BM-019","BM-019",67,"Balaena mysticetus",2022,"Igloolik",17.19,100," 1,719 ",1,1,"A",1,1,1,0
"2","KW-2021-PG-11","KW-2021-PG-11",52,"Orcinus orca",2021,"Cumberland Sound",26.95,100," 2,695 ",1,2,"A",2,1,2,0
"3","ARPI-2013-05","ARPI-2013-05",12,"Orcinus orca",2013,"Eclipse Sound",29.9,100," 2,990 ",1,3,"A",3,1,3,0
"4","BM-041","BM-041",87,"Balaena mysticetus",2022,"Igloolik",34.01,100," 3,401 ",1,4,"A",4,1,4,0
"5","KW-2021-PG-XX","KW-2021-PG-XX",53,"Orcinus orca",2021,"Cumberland Sound",8.79,50," 440 ",1,5,"A",5,1,5,0
"6","BM-042","BM-042",88,"Balaena mysticetus",2022,"Igloolik",21.68,100," 2,168 ",1,6,"A",6,1,6,0
"7","BM-034","BM-034",80,"Balaena mysticetus",2022,"Igloolik",20.42,100," 2,042 ",1,7,"A",7,1,1,0
"8","BM-027","BM-027",75,"Balaena mysticetus",2022,"Igloolik",15.31,100," 1,531 ",1,8,"A",8,1,2,0
"9","GRNL-KW-2021-02","GRNL-KW-2021-02",41,"Orcinus orca",2021,"Greenland",11.26,50," 563 ",1,9,"A",9,1,3,0
"10","OR21-3","OR21-3",45,"Orcinus orca",2021,"Saint Pierre et Miquelon",39,50," 1,950 ",1,10,"A",10,1,4,0
"11","BM-049","BM-049",95,"Balaena mysticetus",2022,"Igloolik",51.05,100," 5,105 ",1,11,"A",11,1,5,0
"12","ARPI-2019-06","ARPI-2019-06",32,"Orcinus orca",2019,"Eclipse Sound",36.95,100," 3,695 ",1,12,"A",12,1,6,0
"13","BM-006","BM-006",57,"Balaena mysticetus",2022,"Igloolik",17.48,100," 1,748 ",1,13,"B",1,2,1,0
"14","ARPI-2019-08","ARPI-2019-08",34,"Orcinus orca",2019,"Eclipse Sound",21.6,100," 2,160 ",1,14,"B",2,2,2,0
